醫事機構名稱
國立臺灣大學醫學院附設醫院
國立臺灣大學醫學院附設醫院兒童醫院
國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院
國立成功大學醫學院附設醫院
三軍總醫院附設民眾診療服務處
臺北榮民總醫院
高雄榮民總醫院
臺中榮民總醫院
長庚醫療財團法人台北長庚紀念醫院
國泰醫療財團法人國泰綜合醫院
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院
台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院
新光醫療財團法人新光吳火獅紀念醫院
醫療財團法人徐元智先生醫藥基金會亞東紀念醫院
佛教慈濟醫療財團法人台北慈濟醫院
台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院
長庚醫療財團法人林口長庚紀念醫院
彰化基督教醫療財團法人彰化基督教醫院
彰化基督教醫療財團法人彰化基督教兒童醫院
奇美醫療財團法人奇美醫院
長庚醫療財團法人高雄長庚紀念醫院
義大醫療財團法人義大醫院
佛教慈濟醫療財團法人花蓮慈濟醫院
臺北市立萬芳醫院－委託臺北醫學大學辦理
財團法人私立高雄醫學大學附設中和紀念醫院
中國醫藥大學兒童醫院
中山醫學大學附設醫院
中國醫藥大學附設醫院
衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉
高雄市立民生醫院
衛生福利部嘉義醫院
衛生福利部樂生療養院
衛生福利部桃園醫院新屋分院
衛生福利部朴子醫院
衛生福利部新營醫院
衛生福利部臺南醫院新化分院
衛生福利部胸腔病院
衛生福利部恆春旅遊醫院
衛生福利部澎湖醫院
衛生福利部花蓮醫院
衛生福利部玉里醫院
衛生福利部花蓮醫院豐濱原住民分院
衛生福利部臺東醫院
衛生福利部臺東醫院成功分院
衛生福利部金門醫院
基隆市立醫院
連江縣立醫院
國立臺灣大學醫學院附設醫院北護分院
國立臺灣大學醫學院附設醫院金山分院
國立成功大學醫學院附設醫院斗六分院
三軍總醫院基隆分院附設民眾診療服務處
國軍桃園總醫院新竹分院附設民眾診療服務處
國軍臺中總醫院中清分院附設民眾診療服務處
國軍左營總醫院岡山分院附設民眾診療服務處
國軍高雄總醫院屏東分院附設民眾診療服務處
三軍總醫院澎湖分院附設民眾診療服務處
臺北榮民總醫院新竹分院
臺北榮民總醫院蘇澳分院
臺北榮民總醫院員山分院
臺中榮民總醫院埔里分院
臺中榮民總醫院灣橋分院
高雄榮民總醫院臺南分院
屏東榮民總醫院龍泉分院
臺北榮民總醫院鳳林分院
臺北榮民總醫院玉里分院
臺北榮民總醫院臺東分院
臺北市立關渡醫院-委託臺北榮民總醫院經營
法務部矯正署臺中監獄附設培德醫院
中山醫療社團法人中山醫院
郵政醫院（委託中英醫療社團法人經營）
西園醫療社團法人西園醫院
林新醫療社團法人烏日林新醫院
吉安醫療社團法人吉安醫院
仁愛醫療社團法人仁愛醫院
燕巢靜和醫療社團法人燕巢靜和醫院
秀傳醫療社團法人高雄秀傳紀念醫院
愛仁醫療社團法人愛仁醫院
維德醫療社團法人基隆維德醫院
平和醫療社團法人和平醫院
維新醫療社團法人台中維新醫院
仁德醫療社團法人陳仁德醫院
慶昇醫療社團法人慶昇醫院
祥太醫療社團法人祥太醫院
安心醫療社團法人安心醫院
亞人醫療社團法人盧亞人醫院
中英醫療社團法人中英醫院
中英醫療社團法人板英醫院
怡濟慈園醫療社團法人宏濟神經精神科醫院
新仁醫療社團法人新仁醫院
永聖醫療社團法人文化醫院
北新醫療社團法人北新醫院
宏其醫療社團法人宏其婦幼醫院
新國民醫療社團法人新國民醫院
培靈醫療社團法人關西醫院
竹北新仁醫療社團法人新仁醫院
海天醫療社團法人海天醫院
梓榮醫療社團法人弘大醫院
大千醫療社團法人南勢醫院
李綜合醫療社團法人苑裡李綜合醫院
道周醫療社團法人道周醫院
員榮醫療社團法人員榮醫院
惠來醫療社團法人宏仁醫院
員郭醫療社團法人員郭醫院
洪宗鄰醫療社團法人洪宗鄰醫院
佑民醫療社團法人佑民醫院
竹山秀傳醫療社團法人竹山秀傳醫院
信安醫療社團法人信安醫院
新興醫療社團法人新興醫院
永達醫療社團法人永達醫院
晉生醫療社團法人晉生慢性醫院
高雄市立岡山醫院（委託秀傳醫療社團法人經營）
安和醫療社團法人安和醫院
優生醫療社團法人優生醫院
復興醫療社團法人復興醫院
安泰醫療社團法人潮州安泰醫院
安泰醫療社團法人安泰醫院
南門醫療社團法人南門醫院
屏安醫療社團法人屏安醫院
枋寮醫療社團法人枋寮醫院
中心診所醫療財團法人中心綜合醫院
宏恩醫療財團法人宏恩綜合醫院
康寧醫療財團法人康寧醫院
醫療財團法人正德癌症醫療基金會佛教正德醫院
台灣基督長老教會新樓醫療財團法人麻豆新樓醫院
奇美醫療財團法人佳里奇美醫院
